id;exercice_name;description;id_doc_schema;dosage;long_dosage;recomendation
1;Directives payment override;Indonesia;9667;Stravenue back up;34757;invoice
2;Via enhance Cotton;Chair Producer Accounts;53995;quantifying;52095;Money Market Account
3;1080p;Rubber connecting back-end;70874;Music;30312;encompassing
4;evolve plug-and-play;Lithuania;30552;morph Village Auto Loan Account;51567;Forward
5;Wyoming Texas;tan Markets;11636;quantifying whiteboard;87797;SMS back-end
6;orange bypassing Graphic Interface;Keyboard;69495;compelling;97561;invoice generating
7;Throughway;Investor;48706;Personal Loan Account;76480;Gloves Cambridgeshire revolutionize
8;withdrawal;Sleek Steel Hat;13516;Associate;54952;Liaison e-markets task-force
9;ADP attitude-oriented;deposit red Home Loan Account;65020;Shirt Awesome Soft Mouse;45980;Sleek Frozen Cheese
10;Credit Card Account;Administrator;23918;Steel;12138;data-warehouse Intelligent Saudi Riyal
