id;groupe_name;start_date;days;end_date;saison;category;obs
1;mobile Fish;2019-12-19T10:01:39;Savings Account Dam;2019-12-20T02:20:26;Trace;BEBE;Producer
2;Implementation Electronics Officer;2019-12-19T13:55:14;Home Loan Account;2019-12-20T04:34:13;Home Namibia;BENJAMIN;Common
3;Savings Account syndicate Planner;2019-12-19T17:32:16;HDD;2019-12-19T12:24:46;Centers;MASTER;cross-platform access
4;Public-key;2019-12-19T22:57:19;Bahamian Dollar Investment Account;2019-12-19T08:44:37;Salad;BENJAMIN;Costa Rica Mayotte
5;Industrial;2019-12-19T08:31:31;Views e-enable Communications;2019-12-19T11:17:08;archive Georgia Aruba;SENIOR;compelling mission-critical
6;bifurcated scalable;2019-12-20T00:46:25;Industrial;2019-12-19T18:34:42;reinvent 24 hour Jewelery;SENIOR;quantify Unbranded Plastic Tuna Frozen
7;generating Highway Ergonomic;2019-12-19T19:50:26;Lempira;2019-12-19T12:45:29;New York tangible Mississippi;SENIOR;Idaho compress Avon
8;system Small;2019-12-19T18:11:46;red;2019-12-19T07:14:31;Harbor Montana;SENIOR;User-centric
9;Money Market Account;2019-12-19T12:03:55;JSON;2019-12-19T13:45:20;modular Refined Squares;MASTER;Ghana back-end National
10;Direct;2019-12-19T22:12:32;withdrawal;2019-12-20T04:43:39;cutting-edge ability Hat;BEBE;24/7
